"DATA_ATUALIZACAO";"CNPJ";"SIGLA_AGENTE";"URL_FATOR_ALAVANCAGEM"
"19/11/2024";"11204086000190";UEE V NORDESTE;https://www.aurenenergia.com.br/
"17/11/2023";"22777483000178";VENTOS DE SAO GALVAO;https://casadosventos.com.br/monitoramento-prudencial
"17/11/2023";"35655010000140";TANQUE NOVO VII;https://cgnbe.com.br/fator-de-alavancagem/
"22/12/2023";"22084882000153";MACQUARIE ENERGIA;https://www.macquarie.com/br/en.html
"09/02/2024";"35823577000188";JANDAIRA IV;https://copelmercadolivre.com/monitoramento-prudencial/
"17/11/2023";"15674987000105";VENTOS STO AUGUSTO I;https://www.aurenenergia.com.br/
"07/08/2025";"30006065000105";SOLAR BARREIRAS IV;https://www.engie.com.br/atividades/comercializacao-de-energia/
"24/11/2023";"43545284000104";UTE CASA DE FORCA;http://www.alcoeste.com.br/?pg=produtos
"23/11/2023";"05263973000137";CEMIG TRADING;https://www.cemig.com.br/monitoramento-prudencial/
"09/02/2024";"04613547000113";GRASP;https://copelmercadolivre.com/monitoramento-prudencial/
"17/11/2023";"03149173000164";PCH FERRADURA;https://www.btgeradora.com.br
"17/11/2023";"10408112000130";SAO RAIMUNDO I5;https://ri.aliancaenergia.com.br/alianca/monitoramento-prudencial-ccee/
"22/11/2024";"42627352000111";EGP ARINOS 17;https://enelcomercializadora.com.br/pt/quem-somos
"04/03/2024";"37427691000114";UFV XAXADO 3;https://recurrentenergy.com/compliance/brazil/
"17/11/2023";"19588049000135";SANTANA 2;https://www.neoenergia.com/web/produtos-e-solucoes/fator-de-alavancagem
"15/02/2024";"34327409000139";EOL POTIGUAR B32;https://www.voltalia.com/pt-pt/comercializadora
"17/11/2023";"29481536000158";ANEMUS WIND 1;https://2wecobank.com.br/fator-de-alavancagem/
"21/11/2023";"16756341000121";CAMPO LARGO IV;https://www.engie.com.br/atividades/comercializacao-de-energia/
"11/01/2024";"01395648000177";ALTO JAURU;https://www.brennandenergia.com.br/transparencia/fator-de-alavancagem/
"22/11/2023";"85235430000145";COTESA;https://cotesaenergia.com.br/cotesa-energia-fator-alavancagem/
"09/11/2023";"11476987000131";ICARAI I;https://ibituenergia.com/ccee/
"30/11/2023";"18265320000139";FORTE_12;http://www.gruposerveng.com.br/alavancagem
"24/11/2023";"00913443000173";RENAULT;
"31/01/2025";"07131859000189";BRADESCO ENERGIA;https://banco.bradesco/energia/
"22/11/2023";"38227600000160";ZEM ENERGY;https://mezenergia.com/comercializacao/
"15/03/2024";"37349892000140";SPE FUTURA_2;https://eneva.com.br/monitoramento-prudencial/
"16/11/2023";"29000095000125";TEMPO ENERGIA;https://tempoenergia.com.br/fator-de-alavancagem/
"17/11/2023";"42745758000107";VENTOS DE SANTA CLOTILDE;https://casadosventos.com.br/monitoramento-prudencial
"17/11/2023";"10272489000104";GARROTE;https://ri.aliancaenergia.com.br/alianca/monitoramento-prudencial-ccee/
"01/12/2023";"12019580000148";CMU COM VAREJISTA;https://cmuenergia.com.br/
"30/01/2024";"09568947000178";BAGUARI ENERG;
"10/11/2023";"35000234000113";GCA;https://gcacomercializadora.com/
"07/08/2025";"29958296000130";SOLAR BARREIRAS II;https://www.engie.com.br/atividades/comercializacao-de-energia/
"19/11/2024";"17875270000149";VENTOS DE SANTA BRIGIDA VII;https://www.aurenenergia.com.br/
"19/11/2024";"11839616000177";MIA 3;https://www.aurenenergia.com.br/
"13/12/2023";"33457932000117";CAETITÉ D;https://simpleenergy.com.br/fator-de-alavancagem/
"09/11/2023";"12964095000142";LIRA;https://ibituenergia.com/ccee/
"24/03/2025";"44394907000158";EOL CASQUEIRA I I5;https://simpleenergy.com.br/fator-de-alavancagem/
"01/12/2023";"13137827000193";CMU TR;https://cmuenergia.com.br/
"15/09/2025";"43213694000158";RD COM;https://ri.rededorsaoluiz.com.br/fator-de-alavancagem-ccee/
"22/11/2024";"29325940000132";EGP SAO GONCALO 21;https://enelcomercializadora.com.br/pt/quem-somos
"21/11/2023";"09625739000163";GERAMAMORE;https://www.engie.com.br/atividades/comercializacao-de-energia/
"24/11/2023";"30834939000112";FLASH ENERGY;https://flashenergy.com.br/fator-alavancagem
"14/10/2024";"47085298000143";TRINDADE ENERGIA;https://www.paratyenergia.com.br/fator-de-alavancagem/
"28/11/2023";"11085823000183";AMERICA;https://www.americaenergia.com.br/
"17/11/2023";"30299434000103";UFV BRIGIDA 2 I5;https://www.comerc.com.br/geracao-renovavel/geracao-centralizada
"17/11/2023";"06252818000188";ABENGOA AGROIN;https://www.coxabengoa.com/
"17/11/2023";"34211484000130";OITIS 4 I50;https://www.neoenergia.com/web/produtos-e-solucoes/fator-de-alavancagem
"27/11/2023";"35788153000120";GRAM;https://simpleenergy.com.br/fator-de-alavancagem/
"17/11/2023";"35407870000164";UFV SOL DO PIAUI;https://www.aurenenergia.com.br/
"17/11/2023";"35865638000170";VENTOS DE SAO JOAO XXIII;https://casadosventos.com.br/monitoramento-prudencial
"16/11/2023";"10797891000102";CPFL CAMPOS DOS VENTOS III;https://www.grupocpfl.com.br/unidades-de-negocios/fator-alavancagem
"17/11/2023";"33511255000178";EOL AFB II;https://www.brasil.qair.energy/projetos/rio-grande-do-norte/afonso-bezerra/fator-de-alavancagem-afb/
"24/11/2023";"15042149000100";LOG ENERGIA;https://www.logenergia.com.br/fator-de-alavancagem/
"22/08/2025";"04959392000171";CENAEEL;https://www.edp.com/pt-br/america-do-sul/brasil/o-que-fazemos/geracao-energia/fator-de-alavancagem
"22/11/2023";"18753150000131";BIO UNIVALEM;https://energia.raizen.com.br/mercado-livre
"17/11/2023";"15253350000137";VENTOS X;https://ri.alupar.com.br/outras-informacoes/central-de-downloads/
"16/11/2023";"19448874000134";PCH JUINA;https://app.powerbi.com/view?r=eyJrIjoiOTM2NDliMDMtNWEzMy00MWQ1LWI1OTMtOTE4ZTBhYmE0MDA2IiwidCI6IjcxZTE0OTYwLWRkMzEtNDQ2NS1iMmYyLTU2YWJhZGZiMTAwOCJ9
"24/11/2023";"19694146000102";SDV IV;https://pecenergia.sharepoint.com/:f:/r/sites/Externo/Engeform%20Energia/Fator%20de%20Alavancagem?csf=1&web=1&e=mjATnz
"17/11/2023";"35633292000184";IPE COM;https://grupobcenergia.com.br/
"17/11/2023";"39237248000106";PONTOON CONV SE;https://www.energiafacil.tech/monitoramento_prudencial
"17/11/2023";"19944650000113";STA VITORIA PALMAR VI;https://cgnbe.com.br/fator-de-alavancagem/
"16/11/2023";"44836856000177";VISTA ALEGRE;https://vistalegre.ind.br/
"17/11/2023";"21840617000195";VENTOS DE SAO VINICIUS;https://www.aurenenergia.com.br/
"07/08/2025";"47149012000146";EOL SERRA DO ASSURUA 8 APE;https://www.engie.com.br/atividades/comercializacao-de-energia/
"17/11/2023";"11944524000157";ARIZONA 1;https://www.neoenergia.com/web/produtos-e-solucoes/fator-de-alavancagem
"21/03/2025";"32818998000122";ENNER;https://www.ccee.org.br/web/guest/fator-de-alavancagem
"22/11/2024";"29310192000114";EGP SAO GONCALO 2;https://enelcomercializadora.com.br/pt/quem-somos
"21/11/2023";"04100556000100";ENGIE BR COM;https://www.engie.com.br/atividades/comercializacao-de-energia/
"17/11/2023";"37380859000183";JANAUBA VII;https://www.elera.com/transparencia/
"22/12/2023";"14659499000158";PCH RENIC;https://www.electrapower.com.br/monitoramento.php
"21/11/2023";"23741520000150";ENGIE SOLAR FLORESTA II;https://www.engie.com.br/atividades/comercializacao-de-energia/
"22/08/2025";"17227909000180";EOLICA JAU;https://www.edp.com/pt-br/america-do-sul/brasil/o-que-fazemos/geracao-energia/fator-de-alavancagem
"17/11/2023";"07852914000120";PCH - ZECA GOLIN;https://paineirapar.com.br/ccee-fa/
"22/11/2024";"29310217000180";EGP SANTA ANGELA 13;https://enelcomercializadora.com.br/pt/quem-somos
"17/11/2023";"04310086000100";MIL ENERGIA RENOVAVEL;https://preciouswoods.com.br/
"19/11/2024";"36957862000154";VENTOS DE SAO RICARDO 11;https://www.aurenenergia.com.br/
"22/12/2023";"07356196000109";EPOWER;https://www.electrapower.com.br/monitoramento.php
"17/11/2023";"14675949000104";VENTOS DE SAO BENTO;https://casadosventos.com.br/monitoramento-prudencial
"20/11/2023";"04944877000191";GENESIS ENERG;https://app.powerbi.com/view?r=eyJrIjoiMmI5NGZlMzQtZGMwOC00NzJjLWJlMGYtOWQ2NjY5MzFhNmU0IiwidCI6IjcxZTE0OTYwLWRkMzEtNDQ2NS1iMmYyLTU2YWJhZGZiMTAwOCJ9
"24/06/2024";"01192333000122";HONDA;https://www.honda.com.br/institucional/honda-energy
"23/11/2023";"08902291000115";CSN MINERACAO;https://www.csn.com.br/documentos-regulatorios-da-ceee-geracao/
"18/10/2024";"07971955000135";TEXTIL UNIAO;https://casadosventos.com.br/monitoramento-prudencial
"21/12/2023";"45992184000151";SOL DE PONTA NEGRA M X;https://scatec.com/locations/brazil/#mendubim-brazil-530-mw
"22/11/2024";"38091465000178";EGP AROEIRA 05;https://enelcomercializadora.com.br/pt/quem-somos
"17/11/2023";"42740798000158";VENTOS DE SANTA FLAVIA;https://casadosventos.com.br/monitoramento-prudencial
"16/11/2023";"08377974000109";CPFL SANTA LUZIA;https://www.grupocpfl.com.br/unidades-de-negocios/fator-alavancagem
"22/11/2024";"21556441000144";EOL DELFINA B;https://enelcomercializadora.com.br/pt/quem-somos
"22/11/2024";"31210772000181";EGP CUMARU 05;https://enelcomercializadora.com.br/pt/quem-somos
"24/11/2023";"31689320000124";UNIVERSAL COM;https://universalenergia.com.br/informacoes/
"08/12/2023";"42073755000166";SITIA1;https://www.spicbrasil.com.br/mercado-livre-de-energia/
"09/11/2023";"12960065000168";BARTOLOMEU;https://ibituenergia.com/ccee/
"30/11/2023";"02998301000181";RIO PARANAPAN;https://ri.ctgbr.com.br/governanca-corporativa/monitoramento-prudencial/
"24/11/2023";"30693787000185";ENERGIZOU;https://blog.energizou.com.br/monitoramento-prudencial-ccee/
"17/11/2023";"33881227000142";CONTINENTAL COM;https://electraenergy.com.br/fator-de-alavancagem-ccee/
"21/11/2023";"15667402000111";SIMPLE ASSESSORIA;https://simpleenergy.com.br/fator-de-alavancagem/
"12/01/2024";"35639141000133";OSLO VIII ACL;https://www.statkraft.com.br/relacoes-com-investidores/servicos-aos-investidores/fator-de-alavancagem/
"17/11/2023";"18384740000134";GRUPO BC;https://grupobcenergia.com.br/
"09/02/2024";"12802866000103";NOVA EURUS IV;https://copelmercadolivre.com/monitoramento-prudencial/
"17/11/2023";"42745764000156";VENTOS DE SANTA ISABEL;https://casadosventos.com.br/monitoramento-prudencial
"17/11/2023";"32398775000153";EOL SERROTE_I;https://www.brasil.qair.energy/projetos/ceara/complexo-ser/fator-de-alavancagem-ser/
"16/11/2023";"09551294000114";CPFL BOA VISTA 2;https://www.grupocpfl.com.br/unidades-de-negocios/fator-alavancagem
"24/11/2023";"47080619000117";GUARANI;https://br.tereos.com/pt-pt/sobreatereos/financas/annual-report/
"22/11/2024";"42630752000186";EGP ARINOS 24;https://enelcomercializadora.com.br/pt/quem-somos
"15/12/2023";"37995380000151";UFV JAÍBA CE;https://www.aurenenergia.com.br/
"11/01/2024";"10359802000146";BI COM;https://www.brennandinvestimentos.com.br/transparencia/fator-de-alavancagem/
"17/11/2023";"47902283000120";USINA SONORA PIE;https://www.usinasonora-ms.com.br/fator-de-alavancagem#inicio
"21/11/2023";"23741544000100";ENGIE SOLAR PARACATU I;https://www.engie.com.br/atividades/comercializacao-de-energia/
"21/11/2023";"37258369000109";MILL;https://millenergia.com.br/canal-de-divulgacao-do-fator-de-alavancagem/
"09/11/2023";"12960127000131";NOTUS;https://ibituenergia.com/ccee/
"16/11/2023";"13438769000138";CPFL MOHINI;https://www.grupocpfl.com.br/unidades-de-negocios/fator-alavancagem
"24/11/2023";"30195195000133";BOREAL COM;https://www.borealenergia.com.br/quem-somos.php
"17/11/2023";"12229415000110";CORURIPE ACUCAR E ALCOOL;https://www.usinacoruripe.com.br/
"22/11/2024";"29552535000157";ENEL SANTA ANGELA 11;https://enelcomercializadora.com.br/pt/quem-somos
"14/12/2023";"09283886000100";VENTOS;https://app.powerbi.com/view?r=eyJrIjoiZWE5MzZmMGEtMTIxNC00N2VhLWE5MzUtMDYwZDhiOTFlYTkyIiwidCI6IjcxZTE0OTYwLWRkMzEtNDQ2NS1iMmYyLTU2YWJhZGZiMTAwOCJ9
"16/11/2023";"10369836000111";CPFL FAROL DE TOUROS;https://www.grupocpfl.com.br/unidades-de-negocios/fator-alavancagem
"17/11/2023";"38263175000164";EOL SERIDO I;https://www.elera.com/transparencia/
"16/11/2023";"24510849000173";MINERVA COM;https://minervafoods.com/minerva-energia/#main_banner-block_637e2bb84d73e
"17/11/2023";"12833899000102";ELERA RE IV;https://www.elera.com/transparencia/
"22/11/2024";"42637743000117";EGP ARINOS 11;https://enelcomercializadora.com.br/pt/quem-somos
"15/02/2024";"39702815000158";SOL SERRA DO MEL IV;https://www.voltalia.com/pt-pt/comercializadora
"17/11/2023";"10235093000197";UTE ILHA;https://site.usinasantaadelia.com.br/
"17/11/2023";"37381255000151";JANAUBA IV;https://www.elera.com/transparencia/
"17/11/2023";"11652254000100";EOL FAISA V;https://www.elera.com/transparencia/
"16/02/2024";"42066920000152";MARANGATU 8;https://www.spicbrasil.com.br/mercado-livre-de-energia/
"17/11/2023";"11619388000120";EOL FAISA II;https://www.elera.com/transparencia/
"16/11/2023";"13330011000181";CPFL VENTOS DE SAO MARTINHO;https://www.grupocpfl.com.br/unidades-de-negocios/fator-alavancagem
"16/02/2024";"42066958000125";MARANGATU 10;https://www.spicbrasil.com.br/mercado-livre-de-energia/
"16/11/2023";"44209336000134";UTE USJ;http://WWW.USJ.COM.BR
"07/08/2025";"24302618000174";JUAZEIRO SOLAR I;https://www.engie.com.br/atividades/comercializacao-de-energia/
"09/11/2023";"12960110000184";FLORENZ;https://ibituenergia.com/ccee/
"17/11/2023";"36127475000190";DELTA FUND III;https://www.deltaenergia.com.br/
